,id,text,date,attachments.link.url,attachments.link.title,comments.count,reposts.count,views.count
266,23474352,"Тело обнаружили после того, как мужчина был вынужден покинуть предназначенный к сносу дом. Труп практически разложился. Отмечается, что мужчина пытался перебить запах освежителями воздуха.",1545228725,https://ria.ru/20181219/1548268805.html,Пожилой японец год прожил с трупом жены,61,2,65258
267,23473880,На трассе в Комсомольске-на-Амуре скорую помощь придавил трансформатор: https://ria.ru/20181219/1548259529.html,1545227072,,,76,8,70320
268,23473683,"Российский журналист кинул стакан в польского эксперта в эфире ""России 1"": https://ria.ru/20181219/1548264695.html",1545226467,,,490,23,89081
269,23473569,,1545225965,https://ria.ru/20181219/1548247779.html,Госдума приняла закон об отмене национального роуминга,81,29,67361
270,23473494,"Косуля попала под колеса автомобиля на Ленинградском проспекте в Кемерове. У нее закрытая травма головы и переломы двух ног. Местное общество защиты животных объявило сбор корма, сена и средств на лечение.",1545225600,https://m.vk.com/@-15755094-kemerovchane-podobrali-sbituu-v-cherte-goroda-kosulu,Кемеровчане подобрали сбитую в черте города косулю,74,8,86987
271,23473393,"Документ полностью запрещает умерщвление животных под каким бы то ни было предлогом, предусматривает создание спецприютов, запрещает бои с участием животных. Также вводится запрет на избавление от животных без передачи их новому владельцу и помещения в приют, вводится запрет на содержание животных в барах, ресторанах, пропаганду жестокого обращения с животными.",1545225141,https://ria.ru/20181219/1548250007.html,Госдума приняла закон об ответственном обращении с животными,395,149,91414
272,23473349,"#ПРЯМАЯТРАНСЛЯЦИЯ 
Еженедельный брифинг Марии Захаровой",1545224880,,,91,2,64129
273,23473237,,1545224324,https://rsport.ria.ru/20181219/1548257204.html,"Кокорин рассказал, какую книгу должен прочесть каждый россиянин",172,4,56221
274,23473005,"#РИА_Видео 
В одном из кафе Шанхая официантов можно погладить и угостить вкусняшкой! Еду в нем помогают заказать корги в футболках с QR-кодами 🐕",1545223068,,,34,36,74951
275,23472722,,1545221649,,,369,17,66758
276,23472679,,1545221369,https://ria.ru/20181219/1548256476.html,"Американские СМИ смоделировали ядерный удар подлодки ""Борей"" по США",104,5,60496
277,23472597,"Друзья, подписывайтесь на наши рассылки: 
- утреннюю, чтобы с самого начала дня быть в курсе актуальных новостей; 
- вечернюю, чтобы не пропустить главные темы дня;
- видео-рассылку, чтоб не пропускать самое интересное из разных уголков мира;
- ""Внимание, конкурс!"", чтоб не пропускать розыгрыши крутых призов✌🏻",1545220815,https://vk.com/ria?w=app5748831_-15755094,Рассылки от РИА Новости,8,0,53073
278,23472447,,1545219956,https://ria.ru/20181219/1548253261.html,"В ГИБДД рассказали, каким будет новый экзамен на водительские права",31,12,60106
279,23472211,"Месяца не прошло после нашумевшей истории, когда жильцы многоэтажного дома в московском районе Коньково потребовали выселения детей с онкологическими заболеваниями. Старшая по подъезду тогда заявила, что рак заразен, и начала сбор подписей. Однако выяснилось, что этот случай — не единичный. В другом доме собственники уже несколько лет третируют семьи, живущие в арендованной фондом ""Спаси жизнь"" квартире. Неоднократные жалобы участковому довели родителей онкобольных детей до того, что они сами решили уехать, лишь бы их не трогали.",1545218655,https://ria.ru/20181219/1548212253.html,Жильцы еще одной московской многоэтажки требуют выселить онкобольных детей,274,17,66558
280,23471925,"Городская навигация – симбиоз трех ""п"": простота, понятность и правдивость. Но даже в этих строгих рамках есть место креативности и свойскому диалогу с местными и туристами. Собрали оригинальные знаки и указатели, которые не только приведут туристов к достопримечательностям, но и откроют город с необычной стороны.",1545217216,https://realty.ria.ru/20181219/1548201489.html,Маршрут внезапно построен: приколы и тайны необычных городских знаков,10,7,56965
281,23471692,Появилось видео проезда Tesla по туннелю Маска под Лос-Анджелесом: https://ria.ru/20181219/1548246527.html,1545216358,,,159,14,75229
282,23471534,"#РИА_Видео 
19 декабря 1906 года родился Леонид Ильич Брежнев. На посту первого секретаря ЦК КПСС он пробыл свыше 18 лет. Период его правления получил название ""эпоха застоя"".",1545215692,,,189,41,80889
283,23471293,,1545214552,https://ria.ru/20181219/1548243108.html,В ЦБ рассказали о подорожании товаров в 2019 году,242,23,67522
284,23471153,"Около 600 миллионов человек в мире играет в сетевые онлайн-игры, из них 180 миллионов – игроки ""в танчики"". В новом эпизоде подкаста ""Как вы это делаете?!"" поговорили с Максимом Чуваловым - паблишинг директором в Wargaming.net. о WOT и игровой индустрии.

 Как пользователи могут провернуть свою маленькую виртуальную ""революцию"" и повлиять на разработку игр? Как женщины начинают играть в ""танки"" и почему российские и белорусские инженеры и разработчики – одни из лучших в мире? 
#каквыэтоделаете #риа_подкаст #wot #worldoftanks",1545213874,,,161,24,89622
285,23471048,,1545213486,https://rsport.ria.ru/20181219/1548244225.html,Мутко покидает пост президента РФС,144,5,61742
286,23470928,,1545212716,https://ria.ru/20181219/1548242539.html,"В московской больнице нашли тела людей, умерших более десяти лет назад",86,13,62779
287,23470775,"#РИАрхив 
74-й день рождения празднует актриса театра и кино, народная артистка РСФСР Анастасия Вертинская.",1545211704,,,43,22,67486
288,23470700,,1545211334,https://rsport.ria.ru/20181219/1548237656.html,Петербург поборется за право провести финал Лиги Чемпионов,66,11,61577
289,23470584,,1545210529,https://ria.ru/20181219/1548239719.html,"Госдума смягчила наказание ""за лайки и репосты""",113,13,63100
290,23470512,,1545209990,https://ria.ru/20181219/1548239583.html,"В Ставрополе уничтожили боевиков ИГ*, открывших огонь по силовикам",77,7,55057
291,23470384,В мурманской гимназии обрушилась часть навесного потолка: https://ria.ru/20181219/1548238175.html,1545209235,,,106,7,68881
292,23470269,"Год назад автобус въехал в толпу у станции метро ""Славянский бульвар"". В результате аварии четыре человека погибли, одиннадцать получили травмы.",1545208269,https://ria.ru/20181219/1548234143.html,"Суд признал виновным водителя автобуса, въехавшего в переход в Москве",42,4,60772
293,23470067,"Трое мужчин, один из которых — участковый, будучи нетрезвыми, жестоко избили и изнасиловали женщину.",1545206683,https://ria.ru/20181219/1548236101.html,В Иркутске арестовали трех мужчин за изнасилование в пункте полиции,110,7,62655
294,23469799,"Два года назад посол России в Турции Андрей Карлов выступал на открытии выставки в Анкаре. Стоявший сзади молодой человек с криком ""Аллах акбар!"" внезапно выхватил пистолет и выстрелил ему в спину. Супруга Карлова в этот момент была рядом.",1545205253,https://ria.ru/20181219/1548178858.html,"Вдова Андрея Карлова рассказала, как живет после трагедии",51,7,61544
295,23469502,,1545203443,https://ria.ru/20181219/1548230314.html,Илон Маск открыл скоростной подземный туннель под Лос-Анджелесом,203,6,67297
296,23469257,"Нацбанк отчеканит памятные монеты, а ""Укрпочта"" издаст почтовые конверты и марки. Бандера возглавлял ""Организацию украинских националистов""*, действовавшую в середине XX века, ее боевым крылом была ""Украинская повстанческая армия""*, которую сформировали в октябре 1942 года. Она действовала преимущественно на Западной Украине и воевала против советских войск, сотрудничая с гитлеровцами.",1545202044,https://ria.ru/20181219/1548230864.html,На Украине день рождения Бандеры объявили праздником,210,11,69531
